Package Name,Version,Official Link,Creator,Creator Profile Link,Description
xmldoc,2.0.3,https://www.npmjs.com/package/xmldoc,nfarina,https://www.npmjs.com/~nfarina,A lightweight XML Document class for JavaScript.
html2canvas-pro,2.0.2,https://www.npmjs.com/package/html2canvas-pro,yorickshan,https://www.npmjs.com/~yorickshan,Screenshots with JavaScript. Next generation!
@hawk.so/javascript,3.2.21,https://www.npmjs.com/package/@hawk.so/javascript,codex-team,https://www.npmjs.com/~codex-team,JavaScript errors tracking for Hawk.so
dpdm,4.0.1,https://www.npmjs.com/package/dpdm,acrazing,https://www.npmjs.com/~acrazing,Analyze circular dependencies in your JavaScript/TypeScript projects.
rttc,10.0.1,https://www.npmjs.com/package/rttc,rachaelshaw,https://www.npmjs.com/~rachaelshaw,Runtime type-checking for JavaScript.
extend-shallow,3.0.2,https://www.npmjs.com/package/extend-shallow,phated,https://www.npmjs.com/~phated,Extend an object with the properties of additional objects. node.js/javascript util.
base62,2.0.2,https://www.npmjs.com/package/base62,andrewnez,https://www.npmjs.com/~andrewnez,JavaScript Base62 encode/decoder
class-utils,0.3.6,https://www.npmjs.com/package/class-utils,jonschlinkert,https://www.npmjs.com/~jonschlinkert,Utils for working with JavaScript classes and prototype methods.
esbuild-linux-64,0.15.18,https://www.npmjs.com/package/esbuild-linux-64,evanw,https://www.npmjs.com/~evanw,"The Linux 64-bit binary for esbuild, a JavaScript bundler."
@supabase/phoenix,0.4.1,https://www.npmjs.com/package/@supabase/phoenix,GitHub Actions,https://www.npmjs.com/~GitHub Actions,The official JavaScript client for the Phoenix web framework.
onnx-proto,8.0.1,https://www.npmjs.com/package/onnx-proto,chaosmail,https://www.npmjs.com/~chaosmail,Onnx Protobuf definition for JavaScript
pegjs,0.10.0,https://www.npmjs.com/package/pegjs,dmajda,https://www.npmjs.com/~dmajda,Parser generator for JavaScript
@amplitude/types,1.10.2,https://www.npmjs.com/package/@amplitude/types,sdk.dev,https://www.npmjs.com/~sdk.dev,Types for all Amplitude JavaScript SDKs
heap-js,2.7.1,https://www.npmjs.com/package/heap-js,ignlg,https://www.npmjs.com/~ignlg,"Efficient Binary heap (priority queue, binary tree) data structure for JavaScript / TypeScript. Includes JavaScript methods, Python's heapq module methods, and Java's PriorityQueue methods."
@aws-sdk/client-s3,3.1038.0,https://www.npmjs.com/package/@aws-sdk/client-s3,aws-sdk-bot,https://www.npmjs.com/~aws-sdk-bot,"AWS SDK for JavaScript S3 Client for Node.js, Browser and React Native"
modal,0.7.4,https://www.npmjs.com/package/modal,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Modal SDK for JavaScript/TypeScript
@esbuild/aix-ppc64,0.28.0,https://www.npmjs.com/package/@esbuild/aix-ppc64,GitHub Actions,https://www.npmjs.com/~GitHub Actions,"The IBM AIX PowerPC 64-bit binary for esbuild, a JavaScript bundler."
@fingerprintjs/fingerprintjs-pro,3.12.9,https://www.npmjs.com/package/@fingerprintjs/fingerprintjs-pro,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Fingerprint JavaScript agent
